CIPCode2010,CIPTitle2010,Action,Text change,CIPCode2020,CIPTitle2020,,,CIPCode2010,CIPCode2020
14.9999,"Engineering, Other.",No substantive changes,no,14.9999,"Engineering, Other.",,,14.9999,14.9999
15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS.,No substantive changes,yes,15,ENGINEERING/ENGINEERING-RELATED TECHNOLOGIES/TECHNICIANS.,,,15,15
15.00,"Engineering Technology, General.",No substantive changes,yes,15.00,"Engineering Technologies/Technicians, General.",,,15,15
15.0000,"Engineering Technology, General.",No substantive changes,yes,15.0000,"Engineering Technologies/Technicians, General.",,,15,15
,,New,no,15.0001,Applied Engineering Technologies/Technicians.,,,,15.0001
15.01,Architectural Engineering Technologies/Technicians.,No substantive changes,yes,15.01,Architectural Engineering Technologies/Technicians.,,,15.01,15.01
15.0101,Architectural Engineering Technology/Technician.,No substantive changes,yes,15.0101,Architectural Engineering Technologies/Technicians.,,,15.0101,15.0101
15.02,Civil Engineering Technologies/Technicians.,No substantive changes,yes,15.02,Civil Engineering Technologies/Technicians.,,,15.02,15.02
15.0201,Civil Engineering Technology/Technician.,No substantive changes,yes,15.0201,Civil Engineering Technologies/Technicians.,,,15.0201,15.0201
15.03,Electrical Engineering Technologies/Technicians.,No substantive changes,yes,15.03,Electrical/Electronic Engineering Technologies/Technicians.,,,15.03,15.03
15.0303,"Electrical, Electronic and Communications Engineering Technology/Technician.",No substantive changes,yes,15.0303,"Electrical, Electronic, and Communications Engineering Technology/Technician.",,,15.0303,15.0303
15.0304,Laser and Optical Technology/Technician.,No substantive changes,yes,15.0304,Laser and Optical Technology/Technician.,,,15.0304,15.0304
15.0305,Telecommunications Technology/Technician.,No substantive changes,yes,15.0305,Telecommunications Technology/Technician.,,,15.0305,15.0305
15.0306,Integrated Circuit Design.,No substantive changes,yes,15.0306,Integrated Circuit Design Technology/Technician.,,,15.0306,15.0306
,,New,no,15.0307,Audio Engineering Technology/Technician.,,,,15.0307
15.0399,"Electrical and Electronic Engineering Technologies/Technicians, Other.",No substantive changes,yes,15.0399,"Electrical/Electronic Engineering Technologies/Technicians, Other.",,,15.0399,15.0399
15.04,Electromechanical Instrumentation and Maintenance Technologies/Technicians.,No substantive changes,yes,15.04,Electromechanical Technologies/Technicians.,,,15.04,15.04
15.0401,Biomedical Technology/Technician.,No substantive changes,no,15.0401,Biomedical Technology/Technician.,,,15.0401,15.0401
15.0403,Electromechanical Technology/Electromechanical Engineering Technology.,No substantive changes,yes,15.0403,Electromechanical/Electromechanical Engineering Technology/Technician.,,,15.0403,15.0403
15.0404,Instrumentation Technology/Technician.,No substantive changes,no,15.0404,Instrumentation Technology/Technician.,,,15.0404,15.0404
15.0405,Robotics Technology/Technician.,No substantive changes,no,15.0405,Robotics Technology/Technician.,,,15.0405,15.0405
15.0406,Automation Engineer Technology/Technician.,No substantive changes,no,15.0406,Automation Engineer Technology/Technician.,,,15.0406,15.0406
,,New,no,15.0407,"Mechatronics, Robotics, and Automation Engineering Technology/Technician.",,,,15.0407
15.0499,"Electromechanical and Instrumentation and Maintenance Technologies/Technicians, Other.",No substantive changes,yes,15.0499,"Electromechanical Technologies/Technicians, Other.",,,15.0499,15.0499
15.05,Environmental Control Technologies/Technicians.,No substantive changes,yes,15.05,Environmental Control Technologies/Technicians.,,,15.05,15.05
15.0501,"Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/Technician.",No substantive changes,no,15.0501,"Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/Technician.",,,15.0501,15.0501
15.0503,Energy Management and Systems Technology/Technician.,Moved to,yes,15.1701,Energy Systems Technology/Technician.,,,15.0503,15.1701
15.0505,Solar Energy Technology/Technician.,Moved to,no,15.1703,Solar Energy Technology/Technician.,,,15.0505,15.1703
15.0506,Water Quality and Wastewater Treatment Management and Recycling Technology/Technician.,No substantive changes,no,15.0506,Water Quality and Wastewater Treatment Management and Recycling Technology/Technician.,,,15.0506,15.0506
15.0507,Environmental Engineering Technology/Environmental Technology.,No substantive changes,yes,15.0507,Environmental/Environmental Engineering Technology/Technician.,,,15.0507,15.0507
15.0508,Hazardous Materials Management and Waste Technology/Technician.,No substantive changes,no,15.0508,Hazardous Materials Management and Waste Technology/Technician.,,,15.0508,15.0508
15.0599,"Environmental Control Technologies/Technicians, Other.",No substantive changes,yes,15.0599,"Environmental Control Technologies/Technicians, Other.",,,15.0599,15.0599
15.06,Industrial Production Technologies/Technicians.,No substantive changes,no,15.06,Industrial Production Technologies/Technicians.,,,15.06,15.06
15.0607,Plastics and Polymer Engineering Technology/Technician.,No substantive changes,no,15.0607,Plastics and Polymer Engineering Technology/Technician.,,,15.0607,15.0607
15.0611,Metallurgical Technology/Technician.,No substantive changes,no,15.0611,Metallurgical Technology/Technician.,,,15.0611,15.0611
15.0612,Industrial Technology/Technician.,No substantive changes,no,15.0612,Industrial Technology/Technician.,,,15.0612,15.0612
15.0613,Manufacturing Engineering Technology/Technician.,No substantive changes,no,15.0613,Manufacturing Engineering Technology/Technician.,,,15.0613,15.0613
15.0614,Welding Engineering Technology/Technician.,No substantive changes,no,15.0614,Welding Engineering Technology/Technician.,,,15.0614,15.0614
15.0615,Chemical Engineering Technology/Technician.,No substantive changes,no,15.0615,Chemical Engineering Technology/Technician.,,,15.0615,15.0615
15.0616,Semiconductor Manufacturing Technology.,No substantive changes,yes,15.0616,Semiconductor Manufacturing Technology/Technician.,,,15.0616,15.0616
,,New,no,15.0617,Composite Materials Technology/Technician.,,,,15.0617
15.0699,"Industrial Production Technologies/Technicians, Other.",No substantive changes,yes,15.0699,"Industrial Production Technologies/Technicians, Other.",,,15.0699,15.0699
15.07,Quality Control and Safety Technologies/Technicians.,No substantive changes,no,15.07,Quality Control and Safety Technologies/Technicians.,,,15.07,15.07
15.0701,Occupational Safety and Health Technology/Technician.,No substantive changes,no,15.0701,Occupational Safety and Health Technology/Technician.,,,15.0701,15.0701
15.0702,Quality Control Technology/Technician.,No substantive changes,no,15.0702,Quality Control Technology/Technician.,,,15.0702,15.0702
15.0703,Industrial Safety Technology/Technician.,No substantive changes,yes,15.0703,Industrial Safety Technology/Technician.,,,15.0703,15.0703
15.0704,Hazardous Materials Information Systems Technology/Technician.,No substantive changes,no,15.0704,Hazardous Materials Information Systems Technology/Technician.,,,15.0704,15.0704
,,New,no,15.0705,Process Safety Technology/Technician.,,,,15.0705
15.0799,"Quality Control and Safety Technologies/Technicians, Other.",No substantive changes,no,15.0799,"Quality Control and Safety Technologies/Technicians, Other.",,,15.0799,15.0799
15.08,Mechanical Engineering Related Technologies/Technicians.,No substantive changes,no,15.08,Mechanical Engineering Related Technologies/Technicians.,,,15.08,15.08
15.0801,Aeronautical/Aerospace Engineering Technology/Technician.,No substantive changes,no,15.0801,Aeronautical/Aerospace Engineering Technology/Technician.,,,15.0801,15.0801
15.0803,Automotive Engineering Technology/Technician.,No substantive changes,no,15.0803,Automotive Engineering Technology/Technician.,,,15.0803,15.0803
15.0805,Mechanical Engineering/Mechanical Technology/Technician.,No substantive changes,yes,15.0805,Mechanical/Mechanical Engineering Technology/Technician.,,,15.0805,15.0805
,,New,no,15.0806,Marine Engineering Technology/Technician.,,,,15.0806
,,New,no,15.0807,Motorsports Engineering Technology/Technician.,,,,15.0807
15.0899,"Mechanical Engineering Related Technologies/Technicians, Other.",No substantive changes,no,15.0899,"Mechanical Engineering Related Technologies/Technicians, Other.",,,15.0899,15.0899
15.09,Mining and Petroleum Technologies/Technicians.,No substantive changes,no,15.09,Mining and Petroleum Technologies/Technicians.,,,15.09,15.09
15.0901,Mining Technology/Technician.,No substantive changes,no,15.0901,Mining Technology/Technician.,,,15.0901,15.0901
15.0903,Petroleum Technology/Technician.,No substantive changes,no,15.0903,Petroleum Technology/Technician.,,,15.0903,15.0903
15.0999,"Mining and Petroleum Technologies/Technicians, Other.",No substantive changes,no,15.0999,"Mining and Petroleum Technologies/Technicians, Other.",,,15.0999,15.0999
15.10,Construction Engineering Technologies.,No substantive changes,yes,15.10,Construction Engineering Technology/Technician.,,,15.1,15.1
15.1001,Construction Engineering Technology/Technician.,No substantive changes,no,15.1001,Construction Engineering Technology/Technician.,,,15.1001,15.1001
15.11,Engineering-Related Technologies.,No substantive changes,yes,15.11,Engineering-Related Technologies/Technicians.,,,15.11,15.11
15.1102,Surveying Technology/Surveying.,No substantive changes,no,15.1102,Surveying Technology/Surveying.,,,15.1102,15.1102
15.1103,Hydraulics and Fluid Power Technology/Technician.,No substantive changes,no,15.1103,Hydraulics and Fluid Power Technology/Technician.,,,15.1103,15.1103
15.1199,"Engineering-Related Technologies, Other.",No substantive changes,yes,15.1199,"Engineering-Related Technologies/Technicians, Other.",,,15.1199,15.1199
15.12,Computer Engineering Technologies/Technicians.,No substantive changes,no,15.12,Computer Engineering Technologies/Technicians.,,,15.12,15.12
15.1201,Computer Engineering Technology/Technician.,No substantive changes,no,15.1201,Computer Engineering Technology/Technician.,,,15.1201,15.1201
15.1202,Computer Technology/Computer Systems Technology.,No substantive changes,yes,15.1202,Computer/Computer Systems Technology/Technician.,,,15.1202,15.1202
15.1203,Computer Hardware Technology/Technician.,No substantive changes,no,15.1203,Computer Hardware Technology/Technician.,,,15.1203,15.1203
15.1204,Computer Software Technology/Technician.,No substantive changes,no,15.1204,Computer Software Technology/Technician.,,,15.1204,15.1204
15.1299,"Computer Engineering Technologies/Technicians, Other.",No substantive changes,no,15.1299,"Computer Engineering Technologies/Technicians, Other.",,,15.1299,15.1299
15.13,Drafting/Design Engineering Technologies/Technicians.,No substantive changes,no,15.13,Drafting/Design Engineering Technologies/Technicians.,,,15.13,15.13
15.1301,"Drafting and Design Technology/Technician, General.",No substantive changes,no,15.1301,"Drafting and Design Technology/Technician, General.",,,15.1301,15.1301
15.1302,CAD/CADD Drafting and/or Design Technology/Technician.,No substantive changes,no,15.1302,CAD/CADD Drafting and/or Design Technology/Technician.,,,15.1302,15.1302
15.1303,Architectural Drafting and Architectural CAD/CADD.,No substantive changes,no,15.1303,Architectural Drafting and Architectural CAD/CADD.,,,15.1303,15.1303
15.1304,Civil Drafting and Civil Engineering CAD/CADD.,No substantive changes,no,15.1304,Civil Drafting and Civil Engineering CAD/CADD.,,,15.1304,15.1304
15.1305,Electrical/Electronics Drafting and Electrical/Electronics CAD/CADD.,No substantive changes,no,15.1305,Electrical/Electronics Drafting and Electrical/Electronics CAD/CADD.,,,15.1305,15.1305
15.1306,Mechanical Drafting and Mechanical Drafting CAD/CADD.,No substantive changes,no,15.1306,Mechanical Drafting and Mechanical Drafting CAD/CADD.,,,15.1306,15.1306
,,New,no,15.1307,3-D Modeling and Design Technology/Technician.,,,,15.1307
15.1399,"Drafting/Design Engineering Technologies/Technicians, Other.",No substantive changes,no,15.1399,"Drafting/Design Engineering Technologies/Technicians, Other.",,,15.1399,15.1399
15.14,Nuclear Engineering Technologies/Technicians.,No substantive changes,yes,15.14,Nuclear Engineering Technology/Technician.,,,15.14,15.14
15.1401,Nuclear Engineering Technology/Technician.,No substantive changes,no,15.1401,Nuclear Engineering Technology/Technician.,,,15.1401,15.1401
15.15,Engineering-Related Fields.,No substantive changes,no,15.15,Engineering-Related Fields.,,,15.15,15.15
15.1501,Engineering/Industrial Management.,No substantive changes,no,15.1501,Engineering/Industrial Management.,,,15.1501,15.1501
15.1502,Engineering Design.,No substantive changes,no,15.1502,Engineering Design.,,,15.1502,15.1502
15.1503,Packaging Science.,No substantive changes,no,15.1503,Packaging Science.,,,15.1503,15.1503
15.1599,"Engineering-Related Fields, Other.",No substantive changes,no,15.1599,"Engineering-Related Fields, Other.",,,15.1599,15.1599
15.16,Nanotechnology.,No substantive changes,no,15.16,Nanotechnology.,,,15.16,15.16
15.1601,Nanotechnology.,No substantive changes,no,15.1601,Nanotechnology.,,,15.1601,15.1601
,,New,no,15.17,Energy Systems Technologies/Technicians.,,,,15.17
,,New,no,15.1702,Power Plant Technology/Technician.,,,,15.1702
,,New,no,15.1704,Wind Energy Technology/Technician.,,,,15.1704
,,New,no,15.1705,Hydroelectric Energy Technology/Technician.,,,,15.1705
,,New,no,15.1706,Geothermal Energy Technology/Technician.,,,,15.1706
,,New,no,15.1799,"Energy Systems Technologies/Technicians, Other.",,,,15.1799
15.99,"Engineering Technologies/Technicians, Other.",No substantive changes,yes,15.99,"Engineering/Engineering-Related Technologies/Technicians, Other.",,,15.99,15.99
15.9999,"Engineering Technologies and Engineering-Related Fields, Other.",No substantive changes,yes,15.9999,"Engineering/Engineering-Related Technologies/Technicians, Other.",,,15.9999,15.9999
16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",No substantive changes,no,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",,,16,16
16.01,"Linguistic, Comparative, and Related Language Studies and Services.",No substantive changes,no,16.01,"Linguistic, Comparative, and Related Language Studies and Services.",,,16.01,16.01
16.0101,"Foreign Languages and Literatures, General.",No substantive changes,no,16.0101,"Foreign Languages and Literatures, General.",,,16.0101,16.0101
16.0102,Linguistics.,No substantive changes,no,16.0102,Linguistics.,,,16.0102,16.0102
16.0103,Language Interpretation and Translation.,No substantive changes,no,16.0103,Language Interpretation and Translation.,,,16.0103,16.0103
16.0104,Comparative Literature.,No substantive changes,no,16.0104,Comparative Literature.,,,16.0104,16.0104
16.0105,Applied Linguistics.,No substantive changes,no,16.0105,Applied Linguistics.,,,16.0105,16.0105
16.0199,"Linguistic, Comparative, and Related Language Studies and Services, Other.",No substantive changes,no,16.0199,"Linguistic, Comparative, and Related Language Studies and Services, Other.",,,16.0199,16.0199
16.02,"African Languages, Literatures, and Linguistics.",No substantive changes,no,16.02,"African Languages, Literatures, and Linguistics.",,,16.02,16.02
16.0201,"African Languages, Literatures, and Linguistics.",No substantive changes,no,16.0201,"African Languages, Literatures, and Linguistics.",,,16.0201,16.0201
16.03,"East Asian Languages, Literatures, and Linguistics.",No substantive changes,no,16.03,"East Asian Languages, Literatures, and Linguistics.",,,16.03,16.03
16.0300,"East Asian Languages, Literatures, and Linguistics, General.",No substantive changes,no,16.0300,"East Asian Languages, Literatures, and Linguistics, General.",,,16.03,16.03
16.0301,Chinese Language and Literature.,No substantive changes,no,16.0301,Chinese Language and Literature.,,,16.0301,16.0301
16.0302,Japanese Language and Literature.,No substantive changes,no,16.0302,Japanese Language and Literature.,,,16.0302,16.0302
16.0303,Korean Language and Literature.,No substantive changes,no,16.0303,Korean Language and Literature.,,,16.0303,16.0303
16.0304,Tibetan Language and Literature.,No substantive changes,no,16.0304,Tibetan Language and Literature.,,,16.0304,16.0304
16.0399,"East Asian Languages, Literatures, and Linguistics, Other.",No substantive changes,no,16.0399,"East Asian Languages, Literatures, and Linguistics, Other.",,,16.0399,16.0399
16.04,"Slavic, Baltic and Albanian Languages, Literatures, and Linguistics.",No substantive changes,no,16.04,"Slavic, Baltic and Albanian Languages, Literatures, and Linguistics.",,,16.04,16.04
16.0400,"Slavic Languages, Literatures, and Linguistics, General.",No substantive changes,no,16.0400,"Slavic Languages, Literatures, and Linguistics, General.",,,16.04,16.04
16.0401,"Baltic Languages, Literatures, and Linguistics.",No substantive changes,no,16.0401,"Baltic Languages, Literatures, and Linguistics.",,,16.0401,16.0401
16.0402,Russian Language and Literature.,No substantive changes,no,16.0402,Russian Language and Literature.,,,16.0402,16.0402
16.0404,Albanian Language and Literature.,No substantive changes,no,16.0404,Albanian Language and Literature.,,,16.0404,16.0404
16.0405,Bulgarian Language and Literature.,No substantive changes,no,16.0405,Bulgarian Language and Literature.,,,16.0405,16.0405
16.0406,Czech Language and Literature.,No substantive changes,no,16.0406,Czech Language and Literature.,,,16.0406,16.0406
16.0407,Polish Language and Literature.,No substantive changes,no,16.0407,Polish Language and Literature.,,,16.0407,16.0407
16.0408,"Bosnian, Serbian, and Croatian Languages and Literatures.",No substantive changes,no,16.0408,"Bosnian, Serbian, and Croatian Languages and Literatures.",,,16.0408,16.0408
16.0409,Slovak Language and Literature.,No substantive changes,no,16.0409,Slovak Language and Literature.,,,16.0409,16.0409
16.0410,Ukrainian Language and Literature.,No substantive changes,no,16.0410,Ukrainian Language and Literature.,,,16.041,16.041
16.0499,"Slavic, Baltic, and Albanian Languages, Literatures, and Linguistics, Other.",No substantive changes,no,16.0499,"Slavic, Baltic, and Albanian Languages, Literatures, and Linguistics, Other.",,,16.0499,16.0499
16.05,"Germanic Languages, Literatures, and Linguistics.",No substantive changes,no,16.05,"Germanic Languages, Literatures, and Linguistics.",,,16.05,16.05
16.0500,"Germanic Languages, Literatures, and Linguistics, General.",No substantive changes,no,16.0500,"Germanic Languages, Literatures, and Linguistics, General.",,,16.05,16.05
16.0501,German Language and Literature.,No substantive changes,no,16.0501,German Language and Literature.,,,16.0501,16.0501
16.0502,"Scandinavian Languages, Literatures, and Linguistics.",No substantive changes,no,16.0502,"Scandinavian Languages, Literatures, and Linguistics.",,,16.0502,16.0502
16.0503,Danish Language and Literature.,No substantive changes,no,16.0503,Danish Language and Literature.,,,16.0503,16.0503
16.0504,Dutch/Flemish Language and Literature.,No substantive changes,no,16.0504,Dutch/Flemish Language and Literature.,,,16.0504,16.0504
16.0505,Norwegian Language and Literature.,No substantive changes,no,16.0505,Norwegian Language and Literature.,,,16.0505,16.0505
16.0506,Swedish Language and Literature.,No substantive changes,no,16.0506,Swedish Language and Literature.,,,16.0506,16.0506
16.0599,"Germanic Languages, Literatures, and Linguistics, Other.",No substantive changes,no,16.0599,"Germanic Languages, Literatures, and Linguistics, Other.",,,16.0599,16.0599
16.06,Modern Greek Language and Literature.,No substantive changes,no,16.06,Modern Greek Language and Literature.,,,16.06,16.06
16.0601,Modern Greek Language and Literature.,No substantive changes,no,16.0601,Modern Greek Language and Literature.,,,16.0601,16.0601
16.07,"South Asian Languages, Literatures, and Linguistics.",No substantive changes,no,16.07,"South Asian Languages, Literatures, and Linguistics.",,,16.07,16.07
16.0700,"South Asian Languages, Literatures, and Linguistics, General.",No substantive changes,no,16.0700,"South Asian Languages, Literatures, and Linguistics, General.",,,16.07,16.07
16.0701,Hindi Language and Literature.,No substantive changes,no,16.0701,Hindi Language and Literature.,,,16.0701,16.0701
16.0702,"Sanskrit and Classical Indian Languages, Literatures, and Linguistics.",No substantive changes,no,16.0702,"Sanskrit and Classical Indian Languages, Literatures, and Linguistics.",,,16.0702,16.0702
16.0704,Bengali Language and Literature.,No substantive changes,no,16.0704,Bengali Language and Literature.,,,16.0704,16.0704
16.0705,Punjabi Language and Literature.,No substantive changes,no,16.0705,Punjabi Language and Literature.,,,16.0705,16.0705
16.0706,Tamil Language and Literature.,No substantive changes,no,16.0706,Tamil Language and Literature.,,,16.0706,16.0706
16.0707,Urdu Language and Literature.,No substantive changes,no,16.0707,Urdu Language and Literature.,,,16.0707,16.0707
16.0799,"South Asian Languages, Literatures, and Linguistics, Other.",No substantive changes,no,16.0799,"South Asian Languages, Literatures, and Linguistics, Other.",,,16.0799,16.0799
16.08,"Iranian/Persian Languages, Literatures, and Linguistics.",No substantive changes,no,16.08,"Iranian/Persian Languages, Literatures, and Linguistics.",,,16.08,16.08
16.0801,"Iranian Languages, Literatures, and Linguistics.",No substantive changes,no,16.0801,"Iranian Languages, Literatures, and Linguistics.",,,16.0801,16.0801
16.09,"Romance Languages, Literatures, and Linguistics.",No substantive changes,no,16.09,"Romance Languages, Literatures, and Linguistics.",,,16.09,16.09
16.0900,"Romance Languages, Literatures, and Linguistics, General.",No substantive changes,no,16.0900,"Romance Languages, Literatures, and Linguistics, General.",,,16.09,16.09
16.0901,French Language and Literature.,No substantive changes,no,16.0901,French Language and Literature.,,,16.0901,16.0901
16.0902,Italian Language and Literature.,No substantive changes,no,16.0902,Italian Language and Literature.,,,16.0902,16.0902
16.0904,Portuguese Language and Literature.,No substantive changes,no,16.0904,Portuguese Language and Literature.,,,16.0904,16.0904
16.0905,Spanish Language and Literature.,No substantive changes,no,16.0905,Spanish Language and Literature.,,,16.0905,16.0905
16.0906,Romanian Language and Literature.,No substantive changes,no,16.0906,Romanian Language and Literature.,,,16.0906,16.0906
16.0907,Catalan Language and Literature.,No substantive changes,no,16.0907,Catalan Language and Literature.,,,16.0907,16.0907
16.0908,"Hispanic and Latin American Languages, Literatures, and Linguistics, General.",No substantive changes,no,16.0908,"Hispanic and Latin American Languages, Literatures, and Linguistics, General.",,,16.0908,16.0908
16.0999,"Romance Languages, Literatures, and Linguistics, Other.",No substantive changes,no,16.0999,"Romance Languages, Literatures, and Linguistics, Other.",,,16.0999,16.0999
16.10,"American Indian/Native American Languages, Literatures, and Linguistics.",No substantive changes,no,16.10,"American Indian/Native American Languages, Literatures, and Linguistics.",,,16.1,16.1
16.1001,"American Indian/Native American Languages, Literatures, and Linguistics.",No substantive changes,yes,16.1001,"American Indian/Native American Languages, Literatures, and Linguistics.",,,16.1001,16.1001
16.11,"Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics.",No substantive changes,no,16.11,"Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics.",,,16.11,16.11
16.1100,"Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics, General.",No substantive changes,no,16.1100,"Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics, General.",,,16.11,16.11
16.1101,Arabic Language and Literature.,No substantive changes,no,16.1101,Arabic Language and Literature.,,,16.1101,16.1101
16.1102,Hebrew Language and Literature.,No substantive changes,no,16.1102,Hebrew Language and Literature.,,,16.1102,16.1102
16.1103,"Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics.",No substantive changes,no,16.1103,"Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics.",,,16.1103,16.1103
16.1199,"Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics, Other.",No substantive changes,no,16.1199,"Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics, Other.",,,16.1199,16.1199
16.12,"Classics and Classical Languages, Literatures, and Linguistics.",No substantive changes,no,16.12,"Classics and Classical Languages, Literatures, and Linguistics.",,,16.12,16.12
16.1200,"Classics and Classical Languages, Literatures, and Linguistics, General.",No substantive changes,no,16.1200,"Classics and Classical Languages, Literatures, and Linguistics, General.",,,16.12,16.12
16.1202,Ancient/Classical Greek Language and Literature.,No substantive changes,no,16.1202,Ancient/Classical Greek Language and Literature.,,,16.1202,16.1202
16.1203,Latin Language and Literature.,No substantive changes,no,16.1203,Latin Language and Literature.,,,16.1203,16.1203
16.1299,"Classics and Classical Languages, Literatures, and Linguistics, Other.",No substantive changes,no,16.1299,"Classics and Classical Languages, Literatures, and Linguistics, Other.",,,16.1299,16.1299
16.13,"Celtic Languages, Literatures, and Linguistics.",No substantive changes,no,16.13,"Celtic Languages, Literatures, and Linguistics.",,,16.13,16.13
16.1301,"Celtic Languages, Literatures, and Linguistics.",No substantive changes,no,16.1301,"Celtic Languages, Literatures, and Linguistics.",,,16.1301,16.1301
16.14,"Southeast Asian and Australasian/Pacific Languages, Literatures, and Linguistics.",No substantive changes,no,16.14,"Southeast Asian and Australasian/Pacific Languages, Literatures, and Linguistics.",,,16.14,16.14
16.1400,"Southeast Asian Languages, Literatures, and Linguistics, General.",No substantive changes,no,16.1400,"Southeast Asian Languages, Literatures, and Linguistics, General.",,,16.14,16.14
16.1401,"Australian/Oceanic/Pacific Languages, Literatures, and Linguistics.",No substantive changes,no,16.1401,"Australian/Oceanic/Pacific Languages, Literatures, and Linguistics.",,,16.1401,16.1401
16.1402,Indonesian/Malay Languages and Literatures.,No substantive changes,no,16.1402,Indonesian/Malay Languages and Literatures.,,,16.1402,16.1402
16.1403,Burmese Language and Literature.,No substantive changes,no,16.1403,Burmese Language and Literature.,,,16.1403,16.1403
16.1404,Filipino/Tagalog Language and Literature.,No substantive changes,no,16.1404,Filipino/Tagalog Language and Literature.,,,16.1404,16.1404
16.1405,Khmer/Cambodian Language and Literature.,No substantive changes,no,16.1405,Khmer/Cambodian Language and Literature.,,,16.1405,16.1405
16.1406,Lao Language and Literature.,No substantive changes,no,16.1406,Lao Language and Literature.,,,16.1406,16.1406
16.1407,Thai Language and Literature.,No substantive changes,no,16.1407,Thai Language and Literature.,,,16.1407,16.1407
16.1408,Vietnamese Language and Literature.,No substantive changes,no,16.1408,Vietnamese Language and Literature.,,,16.1408,16.1408
,,New,no,16.1409,Hawaiian Language and Literature.,,,,16.1409
16.1499,"Southeast Asian and Australasian/Pacific Languages, Literatures, and Linguistics, Other.",No substantive changes,no,16.1499,"Southeast Asian and Australasian/Pacific Languages, Literatures, and Linguistics, Other.",,,16.1499,16.1499
16.15,"Turkic, Uralic-Altaic, Caucasian, and Central Asian Languages, Literatures, and Linguistics.",No substantive changes,no,16.15,"Turkic, Uralic-Altaic, Caucasian, and Central Asian Languages, Literatures, and Linguistics.",,,16.15,16.15
16.1501,Turkish Language and Literature.,No substantive changes,no,16.1501,Turkish Language and Literature.,,,16.1501,16.1501
16.1502,"Uralic Languages, Literatures, and Linguistics.",No substantive changes,no,16.1502,"Uralic Languages, Literatures, and Linguistics.",,,16.1502,16.1502
16.1503,Hungarian/Magyar Language and Literature.,No substantive changes,no,16.1503,Hungarian/Magyar Language and Literature.,,,16.1503,16.1503
16.1504,Mongolian Language and Literature.,No substantive changes,no,16.1504,Mongolian Language and Literature.,,,16.1504,16.1504
16.1599,"Turkic, Uralic-Altaic, Caucasian, and Central Asian Languages, Literatures, and Linguistics, Other.",No substantive changes,no,16.1599,"Turkic, Uralic-Altaic, Caucasian, and Central Asian Languages, Literatures, and Linguistics, Other.",,,16.1599,16.1599
16.16,American Sign Language.,No substantive changes,no,16.16,American Sign Language.,,,16.16,16.16
16.1601,American Sign Language (ASL).,No substantive changes,no,16.1601,American Sign Language (ASL).,,,16.1601,16.1601
16.1602,Linguistics of ASL and Other Sign Languages.,No substantive changes,no,16.1602,Linguistics of ASL and Other Sign Languages.,,,16.1602,16.1602
16.1603,Sign Language Interpretation and Translation.,No substantive changes,no,16.1603,Sign Language Interpretation and Translation.,,,16.1603,16.1603
16.1699,"American Sign Language, Other.",No substantive changes,no,16.1699,"American Sign Language, Other.",,,16.1699,16.1699
,,New,no,16.17,Second Language Learning.,,,,16.17
,,New,no,16.1701,English as a Second Language.,,,,16.1701
,,New,no,16.1702,Reserved.,,,,16.1702
,,New,no,16.1799,Reserved.,,,,16.1799
,,New,no,16.18,"Armenian Languages, Literatures, and Linguistics.",,,,16.18
,,New,no,16.1801,Armenian Language and Literature.,,,,16.1801
16.99,"Foreign Languages, Literatures, and Linguistics, Other.",No substantive changes,no,16.99,"Foreign Languages, Literatures, and Linguistics, Other.",,,16.99,16.99
16.9999,"Foreign Languages, Literatures, and Linguistics, Other.",No substantive changes,no,16.9999,"Foreign Languages, Literatures, and Linguistics, Other.",,,16.9999,16.9999
19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,No substantive changes,no,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,,,19,19
19.00,Work and Family Studies.,Moved to,no,19.10,Work and Family Studies.,,,19,19.1
19.0000,Work and Family Studies.,Moved to,no,19.1001,Work and Family Studies.,,,19,19.1001
19.01,"Family and Consumer Sciences/Human Sciences, General.",No substantive changes,no,19.01,"Family and Consumer Sciences/Human Sciences, General.",,,19.01,19.01
19.0101,"Family and Consumer Sciences/Human Sciences, General.",No substantive changes,no,19.0101,"Family and Consumer Sciences/Human Sciences, General.",,,19.0101,19.0101
19.02,Family and Consumer Sciences/Human Sciences Business Services.,No substantive changes,no,19.02,Family and Consumer Sciences/Human Sciences Business Services.,,,19.02,19.02
19.0201,Business Family and Consumer Sciences/Human Sciences.,No substantive changes,no,19.0201,Business Family and Consumer Sciences/Human Sciences.,,,19.0201,19.0201
